                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     54,                0.66506,                 0.5914,                 1.0173,                0.93313,                0.85687,                0.92267,                0.71537,                0.91844,                0.89711,                 1.2766,             0.00033936,             0.00033936,             0.00033936
                     55,                0.68909,                0.62891,                 1.0261,                0.88385,                0.86779,                0.91969,                 0.6994,                 1.0033,                0.85796,                 1.2994,              0.0003323,              0.0003323,              0.0003323
                     56,                0.67024,                0.59105,                 1.0106,                0.88861,                0.87719,                0.92289,                0.71485,                0.94869,                0.82498,                 1.2547,             0.00032523,             0.00032523,             0.00032523
                     57,                0.65216,                0.58537,                 1.0073,                0.90468,                0.86842,                0.92173,                0.72074,                0.95609,                0.84419,                 1.2803,             0.00031816,             0.00031816,             0.00031816
                     58,                0.67141,                0.59708,                 1.0113,                0.92201,                0.85965,                0.93243,                0.71507,                0.96227,                0.81926,                 1.3008,             0.00031109,             0.00031109,             0.00031109
                     59,                0.67471,                0.59019,                 1.0143,                0.94126,                0.85088,                0.93822,                0.70722,                0.99125,                0.86613,                 1.2281,             0.00030402,             0.00030402,             0.00030402
                     60,                0.65219,                0.58178,                0.99401,                 0.8503,                0.89688,                0.93415,                0.71928,                 1.0124,                0.83458,                 1.2421,             0.00029695,             0.00029695,             0.00029695
                     61,                0.64621,                0.58484,                0.99429,                0.93746,                0.84211,                0.93935,                0.71276,                0.97714,                0.82596,                 1.2655,             0.00028988,             0.00028988,             0.00028988
                     62,                 0.6303,                0.55593,                0.98999,                 0.9174,                0.87687,                0.93461,                0.72729,                0.97223,                0.74441,                 1.2959,             0.00028282,             0.00028282,             0.00028282
                     63,                0.65554,                0.56511,                0.98957,                0.85235,                0.92982,                0.93934,                0.71723,                0.92566,                0.82744,                 1.2595,             0.00027575,             0.00027575,             0.00027575
                     64,                0.64338,                0.57514,                 1.0111,                0.90864,                0.81579,                0.91253,                0.71065,                0.91206,                  0.813,                 1.2533,             0.00026868,             0.00026868,             0.00026868
                     65,                0.65042,                0.55243,                0.99118,                0.88796,                0.82456,                0.90445,                0.70347,                0.92714,                0.84173,                 1.2827,             0.00026161,             0.00026161,             0.00026161
                     66,                0.62026,                0.55339,                0.98194,                0.87205,                0.83698,                0.90619,                0.70955,                0.93357,                0.89715,                  1.251,             0.00025454,             0.00025454,             0.00025454
                     67,                0.64157,                0.55458,                0.99329,                0.89262,                0.80212,                0.90566,                0.70938,                0.90609,                 0.9305,                 1.2429,             0.00024747,             0.00024747,             0.00024747
                     68,                0.59867,                0.53819,                0.97707,                0.91316,                 0.7807,                0.90125,                0.71243,                0.88793,                0.95932,                 1.2428,              0.0002404,              0.0002404,              0.0002404
                     69,                0.60112,                0.53336,                 0.9815,                0.93837,                0.80702,                0.90779,                0.72536,                0.92348,                0.92435,                 1.2643,             0.00023334,             0.00023334,             0.00023334
                     70,                0.61589,                0.54844,                0.99715,                0.86615,                0.84211,                0.90662,                0.73564,                0.93986,                0.88085,                 1.2486,             0.00022627,             0.00022627,             0.00022627
                     71,                0.59427,                0.52723,                0.97163,                0.87878,                0.84211,                0.91324,                0.71915,                0.90967,                0.85899,                 1.2152,              0.0002192,              0.0002192,              0.0002192
                     72,                0.58609,                0.50807,                  0.967,                0.86069,                0.86714,                0.91653,                0.72559,                0.88145,                0.80743,                 1.2201,             0.00021213,             0.00021213,             0.00021213
                     73,                0.62442,                0.53073,                0.98377,                0.85543,                0.88237,                0.91436,                0.72051,                0.91995,                0.80158,                 1.2724,             0.00020506,             0.00020506,             0.00020506
                     74,                0.60929,                0.52823,                0.98132,                0.84445,                0.87719,                 0.9039,                0.69552,                0.93824,                 0.8297,                 1.2841,             0.00019799,             0.00019799,             0.00019799
                     75,                0.60378,                0.52505,                0.97648,                0.90426,                0.82856,                 0.9112,                0.71045,                0.90365,                0.84827,                 1.2503,             0.00019092,             0.00019092,             0.00019092
                     76,                0.62887,                0.54567,                0.99506,                0.89614,                0.85965,                0.93211,                0.71451,                0.86798,                0.78776,                 1.2119,             0.00018385,             0.00018385,             0.00018385
                     77,                0.58176,                0.52118,                0.97898,                0.93435,                0.84211,                0.94261,                0.71644,                0.93364,                0.75162,                 1.2461,             0.00017679,             0.00017679,             0.00017679
